,author,field
0,rkKMIwMAAAAJ,Computer Science
1,TgGwQNIAAAAJ,Computer Science
2,2PgLUpcAAAAJ,Agricultural and Biological Sciences
3,nTNXHiQAAAAJ,Agricultural and Biological Sciences
4,T8rNctUAAAAJ,"Economics, Econometrics and Finance"
5,Hp_oX8gAAAAJ,Mechanical Engineering
6,tEi4TUQAAAAJ,"Biochemistry, Genetics and Molecular Biology"
7,temOz2oAAAAJ,Health Professions
8,HWZAg3kAAAAJ,Physics and Astronomy
9,4P0zlyMAAAAJ,Electrical and Electronic Engineering
10,lN8KAigAAAAJ,Electrical and Electronic Engineering
11,pdqs_asAAAAJ,Computer Science
12,Yv3jCQkAAAAJ,"Business, Management and Accounting"
13,f_JXWlMAAAAJ,Medicine
14,gjy2X4IAAAAJ,Medicine
15,k5kdH_oAAAAJ,Computer Science
16,1Hq20YIAAAAJ,Earth and Planetary Sciences
17,SWgD6vUAAAAJ,Agricultural and Biological Sciences
18,d4b7yiAAAAAJ,Agricultural and Biological Sciences
19,G8UvRUoAAAAJ,Materials Science
20,NQklxTsAAAAJ,Agricultural and Biological Sciences
21,s1EaPWMAAAAJ,Materials Science
22,hROyBlQAAAAJ,Agricultural and Biological Sciences
23,1iXhFlAAAAAJ,Social Sciences
24,-rcrP3gAAAAJ,Social Sciences
25,s9jzOw0AAAAJ,Social Sciences
26,RwTJeYMAAAAJ,"Business, Management and Accounting"
27,yRt1qhgAAAAJ,Social Sciences
28,R1xiGW0AAAAJ,Building and Construction
29,kLu60RkAAAAJ,Computer Science
30,qb82-CIAAAAJ,"Biochemistry, Genetics and Molecular Biology"
31,zfngGSkAAAAJ,Computer Science
32,Y4mReV4AAAAJ,Computer Science
33,Jd2Jp0wAAAAJ,Computer Science
34,WMA2-iQAAAAJ,Computer Science
35,lXpBbiEAAAAJ,Computer Science
36,h55SR68AAAAJ,Computer Science
37,laljImoAAAAJ,Chemical Engineering
38,zfW6nsMAAAAJ,Chemical Engineering
39,tFOqbZsAAAAJ,"Biochemistry, Genetics and Molecular Biology"
40,bja9Op4AAAAJ,Chemical Engineering
41,g5hVhuQAAAAJ,Chemical Engineering
42,Cm5UegUAAAAJ,"Biochemistry, Genetics and Molecular Biology"
43,-6reht8AAAAJ,Psychology
44,cPCHycsAAAAJ,Social Sciences
45,aFNUxNIAAAAJ,Psychology
46,TxjxrnUAAAAJ,Psychology
47,AD0WdbgAAAAJ,Social Sciences
48,6-C8WyIAAAAJ,Social Sciences
49,INTiP24AAAAJ,Social Sciences
50,AELT_0kAAAAJ,Social Sciences
51,n07X8FoAAAAJ,Agricultural and Biological Sciences
52,8R2H1LAAAAAJ,Neuroscience
53,lWjexuQAAAAJ,Neuroscience
54,_HD2h-gAAAAJ,Mathematics
55,iA8BzaoAAAAJ,"Biochemistry, Genetics and Molecular Biology"
56,I3_igNUAAAAJ,Electrical and Electronic Engineering
57,cUX65NsAAAAJ,Agricultural and Biological Sciences
58,-b-tzzgAAAAJ,Agricultural and Biological Sciences
59,hjgJXSEAAAAJ,Agricultural and Biological Sciences
60,t2ZEe1MAAAAJ,Computer Science
61,00OfeX4AAAAJ,Computer Science
62,IcazmfEAAAAJ,Social Sciences
63,ILP0h40AAAAJ,"Economics, Econometrics and Finance"
64,vxG8oc4AAAAJ,Agricultural and Biological Sciences
65,z6uGtv4AAAAJ,Health Professions
66,NIBYxpIAAAAJ,Health Professions
67,6ZmSKjcAAAAJ,Neuroscience
68,B9DU7cIAAAAJ,Agricultural and Biological Sciences
69,BByKtkUAAAAJ,Immunology and Microbiology
70,S8mtOroAAAAJ,Physics and Astronomy
71,-i0BbDgAAAAJ,Media Technology
72,eWMHaQcAAAAJ,Electrical and Electronic Engineering
73,FOfDj5gAAAAJ,Electrical and Electronic Engineering
74,GJc3JzMAAAAJ,Electrical and Electronic Engineering
75,GInxaQUAAAAJ,Computer Science
76,lkT2r3UAAAAJ,Physics and Astronomy
77,ceGQ1ooAAAAJ,Electrical and Electronic Engineering
78,HAiWj9AAAAAJ,Electrical and Electronic Engineering
79,q4sarjoAAAAJ,Computer Science
80,Wx4ptTIAAAAJ,Physics and Astronomy
81,aQhDgGEAAAAJ,Neuroscience
82,UHkodEQAAAAJ,Neuroscience
83,NqYcEnEAAAAJ,Computer Science
84,YBwfbEQAAAAJ,Computer Science
85,1ksNBpsAAAAJ,Physics and Astronomy
86,oHRPDwcAAAAJ,Social Sciences
87,P9JQOi8AAAAJ,Agricultural and Biological Sciences
88,Z3jU6mQAAAAJ,Computer Science
89,GwNIARcAAAAJ,"Business, Management and Accounting"
90,cPWyRk8AAAAJ,Computer Science
91,2O0vLx8AAAAJ,Medicine
92,e0In0ogAAAAJ,Computer Science
93,H_ICOW4AAAAJ,Control and Systems Engineering
94,nyUoJk0AAAAJ,Computer Science
95,zv9seLwAAAAJ,Materials Science
96,qR2p8-0AAAAJ,Computer Science
97,rcW8mi0AAAAJ,Computer Science
98,B-4nchgAAAAJ,Computer Science
99,KJs3XswAAAAJ,Computer Science
100,WOizM1MAAAAJ,Materials Science
101,-JAkXiMAAAAJ,Neuroscience
102,_WR8CLcAAAAJ,Media Technology
103,vdegcWUAAAAJ,Computer Science
104,Il4YCsQAAAAJ,Physics and Astronomy
105,jXChpn8AAAAJ,Physics and Astronomy
106,ThG-tbcAAAAJ,Arts and Humanities
107,aUyYqMMAAAAJ,Energy
108,VjlCVaoAAAAJ,Earth and Planetary Sciences
109,RzIjQ64AAAAJ,Computer Science
110,tgltVIkAAAAJ,Electrical and Electronic Engineering
111,sHCYbNQAAAAJ,Agricultural and Biological Sciences
112,MoVjJmoAAAAJ,Social Sciences
113,vnySdRwAAAAJ,"Biochemistry, Genetics and Molecular Biology"
114,1gf1OswAAAAJ,"Pharmacology, Toxicology and Pharmaceutics"
115,l4XuJl0AAAAJ,Computer Science
116,fORvrd8AAAAJ,Psychology
117,38PlhkcAAAAJ,Agricultural and Biological Sciences
118,e8VJ6fEAAAAJ,Physics and Astronomy
119,8YU1-hwAAAAJ,Immunology and Microbiology
120,tRq58eYAAAAJ,Computer Science
121,w36OMOwAAAAJ,Medicine
122,mOUKztYAAAAJ,Agricultural and Biological Sciences
123,1NvBj_gAAAAJ,Computer Science
124,ndU6iOgAAAAJ,Energy
125,th7m0eAAAAAJ,Mathematics
126,J01jCZMAAAAJ,Electrical and Electronic Engineering
127,dU7U7-0AAAAJ,Mechanical Engineering
128,UrHxqS4AAAAJ,Social Sciences
129,Jog_ShUAAAAJ,Electrical and Electronic Engineering
130,Lh5KX50AAAAJ,Agricultural and Biological Sciences
131,yjyylm8AAAAJ,Physics and Astronomy
132,s8i7LaAAAAAJ,Civil and Structural Engineering
133,ABnt4RQAAAAJ,Computer Science
134,5x2lr20AAAAJ,Computer Science
135,ZgdmrbQAAAAJ,"Biochemistry, Genetics and Molecular Biology"
136,YVGApnUAAAAJ,Earth and Planetary Sciences
137,BUwMtQQAAAAJ,Computer Science
138,HxO0UHYAAAAJ,Agricultural and Biological Sciences
139,jDtNbekAAAAJ,Social Sciences
140,KuOZZSAAAAAJ,Chemical Engineering
141,b8ihZ-oAAAAJ,Computer Science
142,VX3Laf8AAAAJ,"Biochemistry, Genetics and Molecular Biology"
143,PWp9YUUAAAAJ,Mathematics
144,c4OlbnYAAAAJ,"Pharmacology, Toxicology and Pharmaceutics"
145,mAcmGtcAAAAJ,Arts and Humanities
146,gAAM0ecAAAAJ,"Biochemistry, Genetics and Molecular Biology"
147,5_2cPNEAAAAJ,Agricultural and Biological Sciences
148,apQN670AAAAJ,Computer Science
149,vKP1mmIAAAAJ,Building and Construction
150,XPctSoUAAAAJ,Agricultural and Biological Sciences
151,LW1gNSsAAAAJ,Computer Science
152,3A_h6-sAAAAJ,Physics and Astronomy
153,pcxnD7MAAAAJ,Computer Science
154,G40_W5YAAAAJ,Computer Science
155,ANbNbjYAAAAJ,Computer Science
156,MBAmAvMAAAAJ,"Biochemistry, Genetics and Molecular Biology"
157,yXKZnXwAAAAJ,Electrical and Electronic Engineering
158,1gERmtMAAAAJ,Social Sciences
159,jsmHzCAAAAAJ,Computer Science
160,dAR7P3IAAAAJ,Computer Science
161,qWEmpwEAAAAJ,Chemistry
162,oHLjQTEAAAAJ,Computer Science
163,P2gll_wAAAAJ,
164,rgJfjgwAAAAJ,"Economics, Econometrics and Finance"
165,y10KTqwAAAAJ,Computer Science
166,sw7Fg2IAAAAJ,Computer Science
167,nUvlCg0AAAAJ,Materials Science
168,czMNSa8AAAAJ,Arts and Humanities
169,JhvA0vcAAAAJ,Neuroscience
170,pCV2bLAAAAAJ,Agricultural and Biological Sciences
171,Cr0_dMoAAAAJ,
172,TiMU6goAAAAJ,"Business, Management and Accounting"
173,i4knu3wAAAAJ,Computer Science
174,3MRRFEAAAAAJ,Computer Science
175,4vlYpiYAAAAJ,Computer Science
176,-9smtb4AAAAJ,Computer Science
177,cXz0y-EAAAAJ,Neuroscience
178,y7hBNpUAAAAJ,Agricultural and Biological Sciences
179,8P_yMLMAAAAJ,Social Sciences
180,h2y93zoAAAAJ,Computer Science
181,q1mfIKMAAAAJ,Electrical and Electronic Engineering
182,Kv1hYTwAAAAJ,Computer Science
183,u2lhZd8AAAAJ,Computer Science
184,NotNGQUAAAAJ,Social Sciences
185,aOHoWTAAAAAJ,Mathematics
186,NzwC_FQAAAAJ,Social Sciences
187,LD8BwmAAAAAJ,
188,VUj1ZWoAAAAJ,Computer Science
189,UAePgqQAAAAJ,Arts and Humanities
190,V7WdCcsAAAAJ,Medicine
191,TB1-6lsAAAAJ,
192,wYIzhN8AAAAJ,Computer Science
193,ioGHA6EAAAAJ,Agricultural and Biological Sciences
194,7p7WZZoAAAAJ,Arts and Humanities
195,rU_6fE0AAAAJ,Social Sciences
196,TJSSe0IAAAAJ,"Economics, Econometrics and Finance"
197,BTwJNiMAAAAJ,Computer Science
198,OkD0HC0AAAAJ,Physics and Astronomy
199,y6sm7j8AAAAJ,Computer Science
200,Nd47tEQAAAAJ,Computer Science
201,poN-Aa8AAAAJ,Electrical and Electronic Engineering
202,eaay_HwAAAAJ,Energy
203,ISfYAZIAAAAJ,Energy
204,-SmjQhAAAAAJ,Electrical and Electronic Engineering
205,cue0EzIAAAAJ,Energy
206,LUIfqOoAAAAJ,Immunology and Microbiology
207,1dEhBVwAAAAJ,Social Sciences
208,ufMGQ3MAAAAJ,Psychology
209,7ubqAOIAAAAJ,Computer Science
210,NVzn5GQAAAAJ,Industrial and Manufacturing Engineering
211,dc2IWLkAAAAJ,Social Sciences
212,hEqmxx8AAAAJ,"Economics, Econometrics and Finance"
